가,一
각,乙
간,二
갇,十
갈,丁
갉,厂
갊,七
감,卜
갑,八
값,人
갓,入
갔,儿
강,匕
갖,几
갗,九
같,刁
갚,了
갛,刀
개,力
객,乃
갠,又
갤,三
갬,干
갭,于
갯,亏
갰,工
갱,土
갸,士
갹,才
갼,下
걀,寸
걋,大
걍,丈
걔,与
걘,万
걜,上
거,小
걱,口
건,山
걷,巾
걸,千
걺,乞
검,川
겁,亿
것,个
겄,夕
겅,久
겆,么
겉,勺
겊,凡
겋,丸
게,及
겐,广
겔,亡
겜,门
겝,丫
겟,义
겠,之
겡,尸
겨,己
격,已
겪,巳
견,弓
겯,子
결,卫
겸,也
겹,女
겻,刃
겼,飞
경,习
곁,叉
계,马
곈,乡
곌,丰
곕,王
곗,开
고,井
곡,天
곤,夫
곧,元
골,无
곪,云
곬,专
곯,丐
곰,扎
곱,艺
곳,木
공,五
곶,支
과,厅
곽,不
관,犬
괄,太
괆,区
괌,历
괍,歹
괏,友
광,尤
괘,匹
괜,车
괠,巨
괩,牙
괬,屯
괭,戈
괴,比
괵,互
괸,切
괼,瓦
굄,止
굅,少
굇,曰
굉,日
교,中
굔,贝
굘,冈
굡,内
굣,水
구,见
국,午
군,牛
굳,手
굴,气
굵,毛
굶,壬
굻,升
굼,夭
굽,长
굿,仁
궁,什
궂,片
궈,仆
궉,化
권,仇
궐,币
궜,仍
궝,仅
궤,斤
궷,爪
귀,反
귁,介
귄,父
귈,从
귐,仑
귑,今
귓,凶
규,分
균,乏
귤,公
그,仓
극,月
근,氏
귿,勿
글,欠
긁,风
금,丹
급,匀
긋,乌
긍,勾
긔,凤
기,六
긱,文
긴,亢
긷,方
길,火
긺,为
김,斗
깁,忆
깃,计
깅,订
깆,户
깊,认
까,冗
깍,讥
깎,心
깐,尺
깔,引
깖,丑
깜,巴
깝,孔
깟,队
깠,办
깡,以
깥,允
깨,予
깩,邓
깬,劝
깰,双
깸,书
깹,幻
깻,玉
깼,刊
깽,未
꺄,末
꺅,示
꺌,击
꺼,打
꺽,巧
꺾,正
껀,扑
껄,卉
껌,扒
껍,功
껏,扔
껐,去
껑,甘
께,世
껙,艾
껜,古
껨,节
껫,本
껭,术
껴,可
껸,丙
껼,左
꼇,厉
꼈,石
꼍,右
꼐,布
꼬,夯
꼭,戊
꼰,龙
꼲,平
꼴,灭
꼼,轧
꼽,东
꼿,卡
꽁,北
꽂,占
꽃,凸
꽈,卢
꽉,业
꽐,旧
꽜,帅
꽝,归
꽤,旦
꽥,目
꽹,且
꾀,叶
꾄,甲
꾈,申
꾐,叮
꾑,电
꾕,号
꾜,田
꾸,由
꾹,只
꾼,叭
꿀,史
꿇,央
꿈,兄
꿉,叽
꿋,叼
꿍,叫
꿎,叩
꿔,叨
꿜,另
꿨,叹
꿩,冉
꿰,皿
꿱,凹
꿴,囚
꿸,四
뀀,生
뀁,矢
뀄,失
뀌,乍
뀐,禾
뀔,丘
뀜,付
뀝,仗
뀨,代
끄,仙
끅,们
끈,仪
끊,白
끌,仔
끎,他
끓,斥
끔,瓜
끕,乎
끗,丛
끙,令
끝,用
끼,甩
끽,印
낀,尔
낄,乐
낌,句
낍,匆
낏,册
낑,卯
나,犯
낙,外
낚,处
난,冬
낟,鸟
날,务
낡,包
